match_id,teamA,teamB,year,venue,city,toss_team,toss_bat_bowl,outcome,match_winner,win_type,mom
335987,Royal Challengers Bangalore,Kolkata Knight Riders,2008,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Result,Kolkata Knight Riders,runs,BB McCullum
335988,Kings XI Punjab,Chennai Super Kings,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,Result,Chennai Super Kings,runs,MEK Hussey
335989,Delhi Daredevils,Rajasthan Royals,2008,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Result,Delhi Daredevils,wickets,MF Maharoof
335990,Mumbai Indians,Royal Challengers Bangalore,2008,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Result,Royal Challengers Bangalore,wickets,MV Boucher
335991,Kolkata Knight Riders,Deccan Chargers,2008,Eden Gardens,Kolkata,Deccan Chargers,bat,Result,Kolkata Knight Riders,wickets,DJ Hussey
335992,Rajasthan Royals,Kings XI Punjab,2008,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,Result,Rajasthan Royals,wickets,SR Watson
335993,Deccan Chargers,Delhi Daredevils,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Result,Delhi Daredevils,wickets,V Sehwag
335994,Chennai Super Kings,Mumbai Indians,2008,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,Result,Chennai Super Kings,runs,ML Hayden
335995,Deccan Chargers,Rajasthan Royals,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,Result,Rajasthan Royals,wickets,YK Pathan
335996,Kings XI Punjab,Mumbai Indians,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Result,Kings XI Punjab,runs,KC Sangakkara
335997,Royal Challengers Bangalore,Rajasthan Royals,2008,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Result,Rajasthan Royals,wickets,SR Watson
335998,Chennai Super Kings,Kolkata Knight Riders,2008,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,Result,Chennai Super Kings,wickets,JDP Oram
335999,Mumbai Indians,Deccan Chargers,2008,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Result,Deccan Chargers,wickets,AC Gilchrist
336000,Kings XI Punjab,Delhi Daredevils,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,Result,Kings XI Punjab,wickets,SM Katich
336001,Royal Challengers Bangalore,Chennai Super Kings,2008,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,Result,Chennai Super Kings,runs,MS Dhoni
336002,Kolkata Knight Riders,Mumbai Indians,2008,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Result,Mumbai Indians,wickets,ST Jayasuriya
336003,Delhi Daredevils,Royal Challengers Bangalore,2008,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Result,Delhi Daredevils,runs,GD McGrath
336004,Deccan Chargers,Kings XI Punjab,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Result,Kings XI Punjab,wickets,SE Marsh
336005,Rajasthan Royals,Kolkata Knight Riders,2008,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Result,Rajasthan Royals,runs,SA Asnodkar
336006,Chennai Super Kings,Delhi Daredevils,2008,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Result,Delhi Daredevils,wickets,V Sehwag
336007,Deccan Chargers,Royal Challengers Bangalore,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Result,Royal Challengers Bangalore,wickets,R Vinay Kumar
336008,Kings XI Punjab,Kolkata Knight Riders,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Result,Kings XI Punjab,runs,IK Pathan
336009,Mumbai Indians,Delhi Daredevils,2008,Dr DY Patil Sports Academy,Mumbai,Delhi Daredevils,field,Result,Mumbai Indians,runs,SM Pollock
336010,Rajasthan Royals,Chennai Super Kings,2008,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,Result,Rajasthan Royals,wickets,Sohail Tanvir
336011,Royal Challengers Bangalore,Kings XI Punjab,2008,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Result,Kings XI Punjab,wickets,S Sreesanth
336012,Chennai Super Kings,Deccan Chargers,2008,"MA Chidambaram Stadium, Chepauk",Chennai,Deccan Chargers,field,Result,Deccan Chargers,wickets,AC Gilchrist
336013,Mumbai Indians,Rajasthan Royals,2008,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,Result,Mumbai Indians,wickets,A Nehra
336014,Delhi Daredevils,Chennai Super Kings,2008,Feroz Shah Kotla,Delhi,Chennai Super Kings,field,Result,Chennai Super Kings,wickets,MS Dhoni
